Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,1800,4
1,3,0,1550,9
2,3,0,1387,13
3,3,0,1261,18
4,4,0,1165,18
5,4,1,1101,20
6,4,1,1035,20
7,4,0,974,21
8,5,2,928,28
9,5,0,868,28
10,5,1,826,31
11,6,3,779,38
12,6,5,737,46
13,6,1,698,46
14,6,3,672,46
15,6,3,650,46
16,7,1,631,46
17,7,1,614,46
18,7,2,593,46
19,7,0,573,46
20,8,3,555,51
21,8,4,536,51
22,8,4,516,51
23,8,1,499,51
24,8,5,491,51
25,8,6,480,51
26,9,0,455,52
27,9,4,449,52
28,9,2,437,52
29,9,3,424,52
30,9,3,422,52
31,9,2,408,52
32,9,1,395,52
33,10,1,387,52
34,10,1,379,52
35,10,1,364,52
36,10,3,358,52
37,10,3,353,52
38,10,1,350,52
39,10,8,344,52
40,10,5,326,52
41,10,2,318,52
42,11,3,308,55
43,11,3,301,56
44,11,3,298,56
45,11,1,297,61
46,11,1,297,61
47,11,4,295,61
48,11,3,286,61
49,11,1,281,61
50,11,4,279,61
51,10,4,271,61
52,10,2,266,61
53,10,3,263,61
54,10,2,261,61
55,10,5,260,61
56,9,3,255,62
57,9,5,251,62
58,9,5,246,62
59,9,5,241,62
60,9,7,235,62
61,8,7,228,70
62,9,5,216,70
63,9,5,210,70
64,8,5,212,70
65,9,1,204,70
66,8,4,203,70
67,7,5,197,51
68,7,3,193,51
69,7,2,191,51
70,7,3,187,51
71,7,0,187,51
72,7,1,188,51
73,6,3,188,51
74,5,5,191,43
75,5,3,188,35
76,5,1,187,35
77,5,1,190,35
78,5,2,188,35
79,5,0,187,35
80,5,4,188,35
81,4,1,186,35
82,4,1,186,35
83,4,0,191,32
84,4,1,194,32
85,4,3,195,32
86,4,3,196,32
87,4,0,195,32
88,4,0,196,32
89,3,1,196,32
90,3,1,195,32
91,3,0,196,32
92,3,0,200,32
93,3,0,202,32
94,3,1,203,32
95,3,1,202,32
96,3,1,202,32
97,3,2,200,32
98,3,0,198,18
99,3,0,202,18
100,3,0,205,18
101,3,1,205,18
102,3,0,205,18
103,3,0,207,18
104,3,0,207,18
105,3,0,210,18
106,3,0,206,18
107,3,0,204,18
108,3,0,206,18
109,3,0,207,18
110,3,0,209,18
111,3,0,213,18
112,3,0,217,18
113,3,0,219,18
114,3,0,217,18
115,3,1,218,18
116,3,0,217,18
117,3,1,215,18
118,3,1,217,18
119,3,0,216,17
120,3,0,214,19
121,3,0,215,16
122,3,0,216,16
123,3,0,216,16
124,3,0,215,16
125,3,0,214,19
126,3,0,216,19
127,3,0,217,19
128,3,0,217,19
129,3,1,218,20
130,3,0,216,20
131,3,0,219,20
132,3,0,218,20
133,3,0,217,20
134,3,0,218,20
135,3,0,218,20
136,3,0,219,20
137,3,0,216,20
138,3,0,219,20
139,3,1,217,20
140,3,0,222,20
141,3,0,223,20
142,3,1,223,20
143,3,0,222,20
144,2,0,224,20
145,2,0,230,20
146,2,0,232,20
147,2,0,237,21
148,2,0,238,21
149,2,0,239,21
150,2,0,241,21
151,2,0,243,21
152,2,0,247,21
153,2,0,246,21
154,2,0,249,21
155,2,0,247,21
156,2,0,250,21
157,2,0,250,21
158,2,1,253,21
159,2,0,254,21
160,2,1,252,21
161,2,1,252,21
162,2,0,252,21
163,2,0,250,21
164,2,0,251,21
165,2,0,248,21
166,2,0,252,21
167,2,0,249,21
168,2,0,253,21
169,2,0,254,21
170,2,2,255,21
171,2,0,255,21
172,2,0,257,21
173,2,0,257,21
174,2,0,252,21
175,2,0,254,21
176,2,0,253,21
177,2,0,256,21
178,2,0,256,21
179,2,0,256,21
180,2,1,257,21
181,2,2,255,18
182,2,0,254,18
183,2,0,255,18
184,2,0,255,18
185,2,0,254,18
186,2,0,254,18
187,2,0,257,18
188,2,0,255,18
189,2,0,252,22
190,2,0,256,22
191,2,0,254,22
192,2,0,256,22
193,2,0,256,23
194,2,0,259,23
195,2,1,263,23
196,2,0,260,23
197,2,0,265,23
198,2,1,266,24
199,2,0,268,24
200,2,0,274,24
201,2,0,274,24
202,2,1,273,24
203,2,0,275,26
204,2,1,275,26
205,2,0,277,26
206,2,0,276,26
207,2,0,276,26
208,2,0,279,26
209,2,0,281,26
210,2,1,281,31
211,2,0,278,31
212,2,0,278,31
213,2,0,279,31
214,2,0,275,31
215,2,0,278,31
216,2,1,276,32
217,2,1,277,32
218,2,0,275,32
219,2,0,273,32
220,2,0,275,32
221,2,0,276,32
222,2,0,272,32
223,2,1,273,32
224,2,0,271,32
225,2,1,271,32
226,2,0,268,32
227,2,1,267,32
228,2,0,267,20
229,2,0,267,20
230,2,0,264,20
231,2,0,264,20
232,2,0,263,20
233,2,0,263,20
234,2,0,262,20
235,2,0,261,20
236,2,0,263,20
237,2,0,264,20
238,2,0,264,20
239,2,0,264,20
240,2,0,262,20
241,2,1,260,20
242,2,1,258,20
243,2,0,258,20
244,2,0,257,20
245,2,0,258,20
246,2,0,260,20
247,2,0,260,20
248,2,1,260,20
249,2,0,262,19
250,2,0,260,20
251,2,0,257,20
252,2,0,254,20
253,2,1,255,20
254,2,0,252,20
255,2,0,254,20
256,2,0,252,20
257,2,0,251,20
258,2,0,250,20
259,2,0,251,21
260,2,0,250,22
261,2,0,248,24
262,2,0,249,24
263,2,1,245,24
264,2,0,247,24
265,2,0,248,24
266,2,1,251,24
267,2,0,254,24
268,2,1,254,24
269,2,0,254,24
270,2,0,259,24
271,2,0,259,24
272,2,1,258,24
273,2,0,257,21
274,2,0,255,22
275,2,0,252,22
276,2,0,249,22
277,2,0,247,22
278,2,0,246,22
279,2,0,249,22
280,2,1,248,22
281,2,0,248,22
282,2,0,247,22
283,2,0,249,22
284,2,0,250,22
285,2,0,250,24
286,2,1,253,24
287,2,0,252,24
288,2,0,250,24
289,2,0,253,24
290,2,1,247,24
291,2,0,248,24
292,2,0,249,24
293,2,1,252,24
294,2,0,251,24
295,2,0,252,24
296,2,0,257,24
297,2,0,260,24
298,2,0,259,24
299,2,0,260,24
300,2,0,264,24
301,2,0,265,24
302,2,1,266,24
303,2,0,265,20
304,2,1,264,20
305,2,1,264,16
306,2,0,266,16
307,2,0,267,16
308,2,0,267,17
309,2,0,266,17
310,2,0,271,17
311,2,0,271,17
312,2,0,270,17
313,2,0,269,17
314,2,0,268,17
315,2,0,271,17
316,2,0,275,17
317,2,0,274,17
318,2,0,275,17
319,2,0,275,17
320,2,1,278,17
321,2,0,280,14
322,2,1,283,14
323,2,0,279,15
324,2,0,280,15
325,2,1,282,15
326,2,0,281,10
327,2,0,282,10
328,2,0,281,10
329,2,0,282,10
330,2,0,283,10
331,2,0,282,10
332,2,0,284,10
333,2,0,286,10
334,2,0,288,10
335,2,0,290,10
336,2,0,291,10
337,2,0,289,10
338,2,0,288,10
339,2,0,289,10
340,2,0,290,10
341,2,0,289,10
342,2,0,291,10
343,2,0,287,10
344,2,0,289,10
345,2,0,291,10
346,2,0,291,11
347,2,0,294,11
348,2,0,290,17
349,2,0,289,17
350,2,0,292,17
351,2,0,293,17
352,2,0,292,18
353,2,0,297,18
354,2,0,298,18
355,2,0,297,18
356,2,0,297,18
357,2,0,302,18
358,2,0,301,18
359,2,0,301,18
360,2,0,298,18
361,2,0,298,18
362,2,0,299,18
363,2,0,299,18
364,2,0,301,18
365,2,0,299,18
366,2,0,299,18
367,2,0,296,19
368,2,0,296,19
369,2,0,296,19
370,2,0,294,19
371,2,1,290,19
372,2,0,290,19
373,2,0,291,19
374,2,0,293,19
375,2,0,296,19
376,2,0,296,19
377,2,0,296,19
378,2,0,299,19
379,2,0,296,19
380,2,0,293,19
381,2,0,293,19
382,2,0,295,19
383,2,0,297,19
384,2,0,296,19
385,2,1,297,19
386,2,1,298,19
387,2,0,293,15
388,2,0,293,15
389,2,0,292,15
390,2,0,288,17
391,2,0,289,17
392,2,0,289,17
393,2,0,289,19
394,2,0,292,19
395,2,0,294,19
396,2,1,292,19
397,2,1,289,18
398,2,0,288,18
399,2,0,289,19
400,2,0,288,19
401,2,1,287,19
402,2,0,290,12
403,2,0,290,12
404,2,0,292,12
405,2,1,291,12
406,2,0,294,12
